	stem	count	lyric_count	p_english	p_lyrics	cliche
225	attribut	9228.0	1.0	2.7980948346e-05	2.13760827627e-08	-7.17700647225
226	auction	5621.0	1.0	1.70438784842e-05	2.13760827627e-08	-6.68127371596
227	audienc	36227.0	1.0	0.000109846750729	2.13760827627e-08	-8.54456882911
228	aunt	6662.0	1.0	2.02003768835e-05	2.13760827627e-08	-6.85118387171
229	author	110818.0	783.0	0.000336020018834	1.67374728032e-05	-2.99952065194
230	auto	10006.0	540.0	3.0339983653e-05	1.15430846919e-05	-0.966379905444
231	automat	13403.0	1017.0	4.06402959125e-05	2.17394761697e-05	-0.625630298384
232	automobil	6829.0	1.0	2.07067507861e-05	2.13760827627e-08	-6.87594238192
233	autonomi	5849.0	1.0	1.77352153094e-05	2.13760827627e-08	-6.7210348384
234	avail	68706.0	1.0	0.00020832889435	2.13760827627e-08	-9.1846006636
235	averag	64391.0	1.0	0.000195245041715	2.13760827627e-08	-9.11973800373
236	avoid	42890.0	1130.0	0.000130050159792	2.41549735219e-05	-1.68342991876
237	aw	9300.0	2198.0	2.81992652381e-05	4.69846299125e-05	0.510524602868
238	await	7550.0	1769.0	2.28929518869e-05	3.78142904073e-05	0.501857998963
239	awak	5806.0	4827.0	1.760483161e-05	0.000103182351496	1.76832443812
240	awar	37516.0	1194.0	0.000113755229535	2.55230428187e-05	-1.49446734663
241	award	20540.0	1.0	6.22809578485e-05	2.13760827627e-08	-7.97713833644
242	away	196718.0	99115.0	0.000596484199905	0.00211869044303	1.26750070807
243	babi	67881.0	124647.0	0.000205827346627	0.00266446458812	2.5607207172
244	back	512063.0	109866.0	0.00155266670491	0.00234850470881	0.413804924089
245	background	26907.0	875.0	8.15868419099e-05	1.87040724174e-05	-1.47292672138
246	backyard	5890.0	1.0	1.78595346508e-05	2.13760827627e-08	-6.7280201296
247	bacteria	8256.0	1.0	2.50336703017e-05	2.13760827627e-08	-7.06570434068
248	bad	134910.0	24473.0	0.000409071276696	0.000523136873452	0.245953726636
249	badli	9652.0	1.0	2.92665922665e-05	2.13760827627e-08	-7.2219292797
250	bag	40007.0	3938.0	0.000121308387568	8.41790139196e-05	-0.36539031154
251	bake	12253.0	557.0	3.7153289996e-05	1.19064780988e-05	-1.13796969698
252	balanc	39265.0	1243.0	0.000119058510707	2.65704708741e-05	-1.49981457725
253	ball	43512.0	5914.0	0.000131936175166	0.000126418153459	-0.0427231936444
254	balloon	5187.0	557.0	1.57279127731e-05	1.19064780988e-05	-0.278354387378
255	ballot	9217.0	1.0	2.79475943763e-05	2.13760827627e-08	-7.17581373695
256	ban	16296.0	1.0	4.94123899269e-05	2.13760827627e-08	-7.74568381086
257	banana	5458.0	653.0	1.65496332978e-05	1.39585820441e-05	-0.170269424946
258	band	29769.0	5445.0	9.02649383735e-05	0.000116392770643	0.254221319831
259	bank	66112.0	2324.0	0.000200463421873	4.96780163406e-05	-1.39506928746
260	banker	5933.0	1.0	1.79899183503e-05	2.13760827627e-08	-6.73529411921
261	bankruptci	6690.0	1.0	2.02852778971e-05	2.13760827627e-08	-6.85537800608
262	bar	39853.0	6660.0	0.000120841431993	0.0001423647112	0.163912946887
263	bare	27476.0	4184.0	8.33121517938e-05	8.94375302792e-05	0.0709459774569
264	barn	6785.0	1.0	2.05733349076e-05	2.13760827627e-08	-6.86947842522
265	barrel	9951.0	764.0	3.01732138048e-05	1.63313272307e-05	-0.613869391403
266	barrier	12772.0	1.0	3.8726990927e-05	2.13760827627e-08	-7.50201940679
267	base	117041.0	1366.0	0.000354889269111	2.91997290539e-05	-2.49764639257
268	basebal	28551.0	1.0	8.6571744281e-05	2.13760827627e-08	-8.30645609369
269	basement	7988.0	741.0	2.42210463142e-05	1.58396773272e-05	-0.424703922194
270	basi	30377.0	1.0	9.21085032407e-05	2.13760827627e-08	-8.36844987505
271	basic	58053.0	1.0	0.000176027090846	2.13760827627e-08	-9.01612051833
272	basket	9316.0	1.0	2.82477801031e-05	2.13760827627e-08	-7.18649748396
273	basketbal	20955.0	1.0	6.35393121575e-05	2.13760827627e-08	-7.99714141331
274	bat	7694.0	1369.0	2.33295856712e-05	2.92638573022e-05	0.226630889022
275	bath	7149.0	1385.0	2.16770480847e-05	2.96058746264e-05	0.311718799901
276	bathroom	14725.0	768.0	4.4648836627e-05	1.64168315618e-05	-1.00052112833
277	batteri	9793.0	1.0	2.96941295137e-05	2.13760827627e-08	-7.23643197667
278	battl	37229.0	4487.0	0.000112884994145	9.59144833563e-05	-0.162912553425
279	bay	8209.0	1747.0	2.4891157886e-05	3.73440165865e-05	0.405660064832
280	be	12567520.0	330613.0	0.0381069709533	0.00706721085043	-1.68493133287
281	beach	18451.0	2234.0	5.59467357966e-05	4.77541688919e-05	-0.158333721867
282	beam	7625.0	1302.0	2.31203653162e-05	2.78316597571e-05	0.185460368339
283	bean	14996.0	722.0	4.54705571517e-05	1.54335317547e-05	-1.08052249192
284	bear	34384.0	3885.0	0.000104258444726	8.30460815332e-05	-0.227477209035
285	beard	5528.0	1.0	1.67618858319e-05	2.13760827627e-08	-6.6645902184
286	beast	6052.0	2724.0	1.83507476582e-05	5.82284494456e-05	1.15470373941
287	beat	51386.0	21192.0	0.000155811553067	0.000453001945908	1.0672491372
288	beauti	61112.0	17452.0	0.000185302526584	0.000373055396375	0.699737156068
289	becaus	515655.0	22538.0	0.00156355829208	0.000481774153306	-1.17724401664
290	becom	259102.0	9895.0	0.00078564365825	0.000211516338937	-1.31220108047
291	bed	60304.0	12496.0	0.000182852525905	0.000267115530203	0.379001303618
292	bedroom	20387.0	1443.0	6.18170344527e-05	3.08456874266e-05	-0.695182015977
293	bee	6342.0	1661.0	1.9230079585e-05	3.55056734689e-05	0.613216801561
294	beef	8416.0	1284.0	2.5518818951e-05	2.74468902673e-05	0.0728366963184
295	beer	19349.0	2896.0	5.86696325906e-05	6.19051356808e-05	0.0536808830156
296	befor	335825.0	41046.0	0.00101828153211	0.000877402693079	-0.148905654896
297	beg	8542.0	4763.0	2.59008735123e-05	0.000101814282199	1.36887369645
298	begin	250483.0	11267.0	0.000759509306951	0.000240844324488	-1.14852180772
